input,output,selected_items
"[12, 12, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 2, 0, 5, 0, 7, 0, 8, 0, 0, 0]","['Lamp', 'Chair', 'Dresser', 'Bookshelf', 'Table']"
"[11, 10, 2, 3, 2, 3, 2, 2, 3, 1, 3, 1, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 9, 0, 0]","['Bookshelf', 'Bed', 'TV Stand', 'Wardrobe', 'Sofa']"
"[8, 9, 3, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 0, 0, 0, 0]","['Desk', 'Sofa', 'Chair', 'Table']"
"[12, 12, 2, 3, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0]","['Chair', 'TV Stand', 'Sofa']"
"[10, 9, 2, 3, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0]","['Lamp', 'Wardrobe', 'Bed']"
"[11, 9, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0]","['Dresser', 'Wardrobe', 'Desk']"
"[10, 10, 3, 2, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1]","[0, 0, 3, 0, 5, 0, 7, 0, 7, 1, 9, 1]","['Sofa', 'Lamp', 'TV Stand', 'Wardrobe', 'Table', 'Desk']"
"[11, 12, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0]","['Wardrobe', 'Table', 'Chair']"
"[8, 11, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 3, 0, 5, 0, 7, 0, 5, 1, 0, 0]","['Wardrobe', 'Lamp', 'Desk', 'Chair', 'Sofa']"
"[8, 12, 3, 2, 3, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0]","['Dresser', 'TV Stand', 'Bed']"
"[12, 12, 2, 3, 2, 3, 2, 2, 1, 3, 0, 0, 0, 0]","[0, 0, 0, 3, 0, 6, 0, 8, 0, 0, 0, 0]","['Table', 'Bed', 'TV Stand', 'Sofa']"
